id_cliente,nombre,sexo,telefono,email,fecha_registro,sucursal_preferida
C0001,Jose López Hernández,M,5514687710,jose.lopez.hernandez95@gmail.com,2021-07-05,San Ángel
C0002,Fernanda Gómez Sánchez,F,5512126065,fernanda.gomez.sanchez54@gmail.com,2021-02-05,Cuauhtémoc
C0003,Victoria Mendoza Jiménez,F,5534574010,victoria.mendoza.jimenez24@gmail.com,2021-11-01,Cuauhtémoc
C0004,Ricardo Reyes Sánchez,M,5582623626,ricardo.reyes.sanchez69@gmail.com,2021-05-13,San Ángel
C0005,Sofia Díaz Gutiérrez,F,5584683114,sofia.diaz.gutierrez18@gmail.com,2021-04-05,Cuauhtémoc
C0006,Victoria Gómez Ramírez,F,5536847870,victoria.gomez.ramirez68@gmail.com,2022-05-26,San Ángel
C0007,Carlos Díaz Martínez,M,5529296271,carlos.diaz.martinez70@gmail.com,2021-01-12,Cuauhtémoc
C0008,Camila García Martínez,F,5532012140,camila.garcia.martinez19@gmail.com,2024-04-18,Cuauhtémoc
C0009,Valeria Hernández Gómez,F,5581092879,valeria.hernandez.gomez28@gmail.com,2025-04-28,Cuauhtémoc
C0010,Renata García Vázquez,F,5515396186,renata.garcia.vazquez32@gmail.com,2022-07-21,San Ángel
C0011,Mariana González Jiménez,F,5561832675,mariana.gonzalez.jimenez54@gmail.com,2021-03-26,San Ángel
C0012,Laura Jiménez Reyes,F,5589848303,laura.jimenez.reyes31@gmail.com,2021-04-03,Cuauhtémoc
C0013,Carolina Jiménez Cruz,F,5534913744,carolina.jimenez.cruz63@gmail.com,2022-07-18,Cuauhtémoc
C0014,Fernanda Díaz López,F,5560575884,fernanda.diaz.lopez94@gmail.com,2025-08-26,Cuauhtémoc
C0015,Lucia Gómez López,F,5531094944,lucia.gomez.lopez84@gmail.com,2024-12-10,San Ángel
C0016,Rodrigo González Flores,M,5519499110,rodrigo.gonzalez.flores20@gmail.com,2025-06-14,Cuauhtémoc
C0017,Ana Cruz García,F,5521766572,ana.cruz.garcia99@gmail.com,2022-03-26,San Ángel
C0018,Miguel Jiménez Martínez,M,5519797846,miguel.jimenez.martinez98@gmail.com,2024-04-13,Cuauhtémoc
C0019,Lucia López Morales,F,5571682528,lucia.lopez.morales74@gmail.com,2022-02-03,San Ángel
C0020,Paula Rodríguez Díaz,F,5566528968,paula.rodriguez.diaz32@gmail.com,2025-12-28,San Ángel
C0021,Luis Cruz García,M,5581718001,luis.cruz.garcia29@gmail.com,2025-07-23,Cuauhtémoc
C0022,Gabriela Reyes Flores,F,5516452183,gabriela.reyes.flores89@gmail.com,2021-10-12,Cuauhtémoc
