Fecha,Cliente,TipoVenta,Clase,Aparato,Paquete,Fitpass,Sucursal,Total
2023-01-01,Carolina Vázquez,Fitpass,Reformer,Reformer,0,Sí,Roma,203
2023-01-01,Laura Pérez,Paquete,Chair,Chair,24,No,Polanco,8277
2023-01-01,Javier Torres,Fitpass,Reformer,Reformer,0,Sí,Roma,219
2023-01-01,Valeria Hernández,Clase Individual,Chair,Chair,0,No,Condesa,512
2023-01-01,Sofía Sánchez,Paquete,Chair,Chair,8,No,Polanco,3285
2023-01-01,Sofía Rodríguez,Paquete,Reformer,Reformer,8,No,Condesa,3245
2023-01-01,Alejandro Torres,Fitpass,Reformer,Reformer,0,Sí,Roma,208
2023-01-02,Renata Jiménez,Clase Individual,Chair,Chair,0,No,Condesa,473
2023-01-02,Victoria Vázquez,Fitpass,Cadillac,Cadillac,0,Sí,Polanco,229
2023-01-02,Mariana Reyes,Fitpass,Cadillac,Cadillac,0,Sí,Condesa,203
2023-01-02,Rodrigo Cruz,Paquete,Chair,Chair,8,No,Roma,3279
2023-01-02,Carolina Gómez,Fitpass,Chair,Chair,0,Sí,Condesa,230
2023-01-02,Lucía Gómez,Paquete,Chair,Chair,24,No,Roma,7980
2023-01-02,Daniela Jiménez,Paquete,Reformer,Reformer,12,No,Condesa,4594
2023-01-02,Valeria Martínez,Paquete,Reformer,Reformer,8,No,Roma,3243
2023-01-02,Paula Cruz,Fitpass,Reformer,Reformer,0,Sí,Roma,218
2023-01-02,Valeria Morales,Paquete,Reformer,Reformer,12,No,Condesa,4116
2023-01-03,Valeria Morales,Paquete,Reformer,Reformer,24,No,Roma,8765
2023-01-03,Renata Ramírez,Paquete,Mat Pilates,Ninguno,8,No,Condesa,2931
2023-01-03,Laura Pérez,Fitpass,Mat Pilates,Ninguno,0,Sí,Roma,195
2023-01-03,Valeria Mendoza,Paquete,Mat Pilates,Ninguno,24,No,Roma,8272
2023-01-03,Fernanda Mendoza,Paquete,Cadillac,Cadillac,12,No,Polanco,4568
2023-01-03,Camila Gutiérrez,Fitpass,Reformer,Reformer,0,Sí,Condesa,213
2023-01-03,Fernando Gutiérrez,Paquete,Mat Pilates,Ninguno,8,No,Condesa,3135
2023-01-03,Alejandro Pérez,Paquete,Mat Pilates,Ninguno,12,No,Condesa,4432
2023-01-03,Sofía Rodríguez,Paquete,Reformer,Reformer,8,No,Condesa,3203
2023-01-03,Andrea Reyes,Fitpass,Reformer,Reformer,0,Sí,Condesa,215
2023-01-03,Carolina Jiménez,Paquete,Mat Pilates,Ninguno,24,No,Polanco,8689
2023-01-03,Miguel Cruz,Fitpass,Reformer,Reformer,0,Sí,Polanco,215
2023-01-03,Miguel Morales,Paquete,Reformer,Reformer,24,No,Condesa,8355
2023-01-03,Renata Jiménez,Paquete,Reformer,Reformer,8,No,Condesa,3228
2023-01-03,Rodrigo Díaz,Paquete,Chair,Chair,12,No,Condesa,4352
2023-01-03,Sofía Reyes,Clase Individual,Chair,Chair,0,No,Polanco,492
2023-01-03,Daniela Morales,Fitpass,Cadillac,Cadillac,0,Sí,Condesa,228
2023-01-04,Santiago Rodríguez,Paquete,Reformer,Reformer,8,No,Roma,2995
2023-01-04,Valeria Díaz,Fitpass,Mat Pilates,Ninguno,0,Sí,Roma,182
2023-01-04,Andrea López,Fitpass,Cadillac,Cadillac,0,Sí,Polanco,189
2023-01-04,Miguel Ramírez,Fitpass,Mat Pilates,Ninguno,0,Sí,Polanco,204
2023-01-04,Claudia Cruz,Clase Individual,Cadillac,Cadillac,0,No,Roma,418
2023-01-04,Fernanda Flores,Fitpass,Chair,Chair,0,Sí,Roma,184
2023-01-04,Alejandro Sánchez,Fitpass,Reformer,Reformer,0,Sí,Polanco,185
2023-01-04,Paula Sánchez,Fitpass,Reformer,Reformer,0,Sí,Roma,189
2023-01-04,Claudia García,Paquete,Reformer,Reformer,8,No,Roma,2972
2023-01-04,Miguel Rodríguez,Paquete,Chair,Chair,24,No,Condesa,8302
2023-01-04,Regina Gómez,Paquete,Reformer,Reformer,8,No,Polanco,3131
2023-01-04,Rodrigo Díaz,Paquete,Reformer,Reformer,8,No,Condesa,3287
2023-01-04,Carlos Gómez,Fitpass,Reformer,Reformer,0,Sí,Polanco,227
2023-01-05,Ana González,Fitpass,Reformer,Reformer,0,Sí,Condesa,183
2023-01-05,Regina López,Fitpass,Reformer,Reformer,0,Sí,Polanco,200
2023-01-05,Luis Sánchez,Paquete,Reformer,Reformer,12,No,Roma,4132
2023-01-05,Camila Cruz,Fitpass,Reformer,Reformer,0,Sí,Roma,204
2023-01-05,Fernanda García,Fitpass,Chair,Chair,0,Sí,Roma,233
2023-01-05,Mariana Martínez,Fitpass,Reformer,Reformer,0,Sí,Condesa,239
2023-01-05,Santiago Pérez,Paquete,Reformer,Reformer,12,No,Polanco,4180
2023-01-05,Valeria Martínez,Paquete,Reformer,Reformer,8,No,Condesa,3147
2023-01-05,Paula Mendoza,Fitpass,Chair,Chair,0,Sí,Polanco,214
2023-01-05,Ximena García,Fitpass,Reformer,Reformer,0,Sí,Roma,206
2023-01-05,Javier Hernández,Clase Individual,Chair,Chair,0,No,Roma,458
2023-01-05,Natalia Pérez,Paquete,Chair,Chair,12,No,Polanco,4426
2023-01-05,María Hernández,Paquete,Reformer,Reformer,8,No,Roma,3273
2023-01-05,Lucía Jiménez,Paquete,Chair,Chair,12,No,Polanco,4511
2023-01-05,Renata Vázquez,Fitpass,Reformer,Reformer,0,Sí,Condesa,197
2023-01-05,Andrea Morales,Fitpass,Reformer,Reformer,0,Sí,Polanco,230
2023-01-06,Andrea González,Fitpass,Cadillac,Cadillac,0,Sí,Roma,207
2023-01-06,María Flores,Paquete,Reformer,Reformer,8,No,Polanco,2913
2023-01-06,Mariana Pérez,Paquete,Reformer,Reformer,8,No,Condesa,3278
2023-01-06,Gabriela Sánchez,Fitpass,Chair,Chair,0,Sí,Polanco,225
2023-01-06,Daniela Gutiérrez,Fitpass,Mat Pilates,Ninguno,0,Sí,Polanco,197
2023-01-06,Regina Reyes,Paquete,Reformer,Reformer,8,No,Roma,3051
2023-01-06,Natalia Cruz,Fitpass,Reformer,Reformer,0,Sí,Condesa,195
2023-01-07,Andrea Torres,Clase Individual,Reformer,Reformer,0,No,Condesa,459
2023-01-07,Mariana Reyes,Paquete,Chair,Chair,24,No,Roma,8181
2023-01-07,María Morales,Fitpass,Mat Pilates,Ninguno,0,Sí,Condesa,210
2023-01-07,Diego Hernández,Fitpass,Cadillac,Cadillac,0,Sí,Roma,238
2023-01-07,Victoria González,Clase Individual,Reformer,Reformer,0,No,Roma,506
2023-01-07,Natalia Vázquez,Paquete,Reformer,Reformer,8,No,Roma,2946
2023-01-07,Mateo Díaz,Paquete,Reformer,Reformer,24,No,Condesa,8228
2023-01-07,Diego Pérez,Paquete,Chair,Chair,8,No,Roma,2960
2023-01-07,Carolina Torres,Paquete,Cadillac,Cadillac,8,No,Roma,3130
2023-01-07,Ana García,Clase Individual,Reformer,Reformer,0,No,Condesa,398
2023-01-07,Regina Gómez,Paquete,Reformer,Reformer,12,No,Condesa,4170
2023-01-07,Valeria Morales,Clase Individual,Reformer,Reformer,0,No,Polanco,421
2023-01-07,Valeria García,Clase Individual,Reformer,Reformer,0,No,Condesa,457
2023-01-07,Diego Hernández,Fitpass,Reformer,Reformer,0,Sí,Condesa,205
2023-01-08,Gabriela Flores,Clase Individual,Reformer,Reformer,0,No,Condesa,492
2023-01-08,Regina Martínez,Fitpass,Mat Pilates,Ninguno,0,Sí,Condesa,235
2023-01-08,Mateo Sánchez,Paquete,Chair,Chair,24,No,Polanco,8537
2023-01-08,Rodrigo González,Clase Individual,Mat Pilates,Ninguno,0,No,Condesa,388
2023-01-08,Claudia Jiménez,Paquete,Reformer,Reformer,12,No,Roma,4680
2023-01-08,Diego Rodríguez,Fitpass,Reformer,Reformer,0,Sí,Polanco,232
2023-01-08,Claudia Gómez,Paquete,Reformer,Reformer,8,No,Condesa,3194
2023-01-08,Daniela Morales,Paquete,Reformer,Reformer,12,No,Roma,4483
2023-01-08,Claudia Torres,Paquete,Chair,Chair,8,No,Roma,3266
2023-01-08,Regina Sánchez,Fitpass,Mat Pilates,Ninguno,0,Sí,Roma,186
2023-01-08,Miguel Díaz,Fitpass,Cadillac,Cadillac,0,Sí,Roma,209
2023-01-08,Andrea Gómez,Paquete,Reformer,Reformer,8,No,Condesa,3165
2023-01-08,Mateo Vázquez,Paquete,Cadillac,Cadillac,12,No,Roma,4358
2023-01-08,Victoria Torres,Fitpass,Reformer,Reformer,0,Sí,Condesa,186
2023-01-08,Miguel Ramírez,Paquete,Chair,Chair,12,No,Polanco,4643
2023-01-09,Mariana Jiménez,Fitpass,Mat Pilates,Ninguno,0,Sí,Condesa,228
2023-01-09,Mateo Gómez,Fitpass,Chair,Chair,0,Sí,Roma,205
2023-01-09,Ximena González,Fitpass,Mat Pilates,Ninguno,0,Sí,Condesa,240
2023-01-09,Diego Mendoza,Fitpass,Chair,Chair,0,Sí,Roma,226
2023-01-09,Miguel Flores,Clase Individual,Mat Pilates,Ninguno,0,No,Roma,441
2023-01-09,Sofía López,Paquete,Cadillac,Cadillac,12,No,Roma,4158
2023-01-09,Rodrigo Sánchez,Fitpass,Cadillac,Cadillac,0,Sí,Polanco,230
2023-01-09,Valeria Mendoza,Paquete,Chair,Chair,8,No,Condesa,3170
